shipment_id,date,region,warehouse,transport_mode,distance_km,shipment_volume_kg,promised_delivery_days,actual_delivery_days,delay_days,is_delayed,transportation_cost,fuel_surcharge_pct,customer_satisfaction,damaged_or_lost
SHP-00682,2025-01-12,Central,WH-Delhi,Air,1703.2,82.1,4.62,6.1,1.48,True,2800.62,8.6,5,0
SHP-00519,2025-01-12,South,WH-Chennai,Road,912.6,102.8,9.75,11.76,2.01,True,471.16,8.3,5,0
SHP-00852,2025-01-12,East,WH-Chennai,Rail,1019.9,152.5,10.33,10.38,0.05,True,329.16,11.1,5,0
SHP-00917,2025-01-13,Central,WH-Bhopal,Rail,2994.8,628.5,19.25,24.49,5.24,True,1240.25,2.2,3,0
SHP-01008,2025-01-13,North,WH-Mumbai,Road,2473.9,154.1,28.83,30.23,1.4,True,1392.23,4.6,5,0
SHP-00152,2025-01-13,West,WH-Mumbai,Sea,2432.8,589.4,12.87,16.05,3.18,True,537.27,9.9,4,0
SHP-00379,2025-01-13,West,WH-Mumbai,Road,939.1,465.6,11.68,12.94,1.26,True,854.67,5.8,4,0
SHP-00555,2025-01-13,South,WH-Bhopal,Road,710.1,248.5,9.31,9.4,0.09,True,548.1,11.6,4,0
SHP-00886,2025-01-14,North,WH-Bhopal,Sea,912.3,614.2,8.12,7.9,-0.22,False,310.73,10.8,5,0
SHP-00676,2025-01-14,North,WH-Mumbai,Road,2542.1,257.5,31.01,30.99,-0.02,False,1430.18,5.4,5,0
SHP-00051,2025-01-14,West,WH-Chennai,Air,107.4,72.9,1.33,1.5,0.17,True,301.83,5.3,4,0
SHP-00892,2025-01-14,East,WH-Kolkata,Rail,1325.0,975.6,12.28,12.44,0.16,True,934.62,7.9,5,0
SHP-01058,2025-01-14,North,WH-Bhopal,Road,2796.5,386.5,34.14,35.5,1.36,True,1706.67,10.3,4,0
SHP-00135,2025-01-15,North,WH-Kolkata,Road,1550.2,203.9,14.74,19.57,4.83,True,1011.54,8.7,3,0
SHP-01104,2025-01-15,West,WH-Delhi,Road,1047.5,365.9,11.62,13.35,1.73,True,889.24,9.8,4,0
SHP-01078,2025-01-15,East,WH-Bhopal,Road,384.7,89.5,4.61,4.89,0.28,True,241.43,8.6,4,0
SHP-00904,2025-01-15,North,WH-Chennai,Rail,976.6,303.1,8.7,8.83,0.13,True,494.09,2.2,4,0
SHP-00093,2025-01-15,Central,WH-Chennai,Rail,517.4,270.4,5.21,5.89,0.68,True,392.07,11.4,5,0
SHP-00498,2025-01-16,West,WH-Delhi,Road,2362.6,105.2,26.68,29.09,2.41,True,1190.43,8.2,4,0
SHP-00330,2025-01-17,South,WH-Kolkata,Rail,1955.0,757.1,14.13,17.29,3.16,True,986.41,8.1,3,0
SHP-01184,2025-01-17,North,WH-Delhi,Road,2324.6,514.4,30.4,29.31,-1.09,False,1589.32,2.7,5,0
SHP-00353,2025-01-18,South,WH-Chennai,Road,930.1,51.5,12.9,13.31,0.41,True,510.63,5.3,4,0
SHP-00567,2025-01-19,West,WH-Kolkata,Road,2482.6,209.3,24.05,29.69,5.64,True,1428.0,3.7,3,0
SHP-00637,2025-01-19,West,WH-Kolkata,Road,2177.8,282.5,28.65,27.9,-0.75,False,1284.75,9.9,5,0
SHP-00672,2025-01-20,West,WH-Mumbai,Road,2653.3,111.7,25.3,33.43,8.13,True,1402.15,11.4,1,0
SHP-00384,2025-01-20,Central,WH-Delhi,Road,1776.0,456.3,20.26,22.99,2.73,True,1170.45,11.7,3,0
SHP-00988,2025-01-20,Central,WH-Mumbai,Rail,2038.3,519.5,16.05,16.8,0.75,True,948.78,2.5,4,0
SHP-00045,2025-01-21,West,WH-Kolkata,Road,1046.6,352.8,12.51,13.13,0.62,True,695.67,11.4,4,0
SHP-00007,2025-01-21,North,WH-Delhi,Road,1869.8,249.8,18.77,23.7,4.93,True,1056.33,4.7,3,0
SHP-00026,2025-01-22,East,WH-Delhi,Air,2365.8,124.0,5.68,6.88,1.2,True,4031.63,7.1,4,0
SHP-00308,2025-01-22,West,WH-Bhopal,Road,338.7,600.2,6.41,6.56,0.15,True,735.98,11.5,4,0
SHP-00847,2025-01-22,Central,WH-Kolkata,Road,2954.1,217.5,39.12,37.61,-1.51,False,1704.88,7.3,4,0
SHP-00748,2025-01-23,South,WH-Chennai,Road,1961.7,401.6,18.18,24.09,5.91,True,1389.98,10.2,2,0
SHP-01063,2025-01-23,West,WH-Delhi,Sea,2684.2,126.6,15.82,16.65,0.83,True,595.7,2.4,4,0
SHP-01130,2025-01-23,North,WH-Chennai,Road,2033.0,636.2,22.97,27.11,4.14,True,1573.85,5.0,3,0
SHP-00483,2025-01-23,Central,WH-Mumbai,Road,2387.6,305.0,28.84,29.99,1.15,True,1462.42,11.8,5,0
SHP-01191,2025-01-25,North,WH-Delhi,Road,2783.3,181.5,34.44,34.75,0.31,True,1487.2,4.8,5,0
SHP-01178,2025-01-25,Central,WH-Chennai,Road,1722.7,492.0,18.92,20.43,1.51,True,1172.36,6.1,4,0
SHP-00915,2025-01-25,Central,WH-Chennai,Sea,383.8,655.2,4.09,4.91,0.82,True,284.67,4.2,5,0
SHP-00919,2025-01-25,North,WH-Bhopal,Road,192.6,293.5,2.28,3.03,0.75,True,321.9,2.7,4,0
SHP-00581,2025-01-25,South,WH-Mumbai,Air,2370.3,88.1,8.95,10.07,1.12,True,3872.44,4.3,4,0
SHP-00978,2025-01-26,West,WH-Kolkata,Road,2130.7,482.3,22.2,26.64,4.44,True,1527.13,7.5,2,0
SHP-00376,2025-01-26,North,WH-Delhi,Sea,429.3,507.5,3.58,3.68,0.1,True,195.71,10.1,5,1
SHP-00873,2025-01-26,West,WH-Kolkata,Rail,2138.0,1009.9,18.32,18.12,-0.2,False,1131.38,10.8,5,0
SHP-00317,2025-01-27,North,WH-Bhopal,Sea,625.4,36.9,6.17,8.0,1.83,True,125.54,7.7,4,0
SHP-00165,2025-01-28,West,WH-Bhopal,Rail,1440.5,233.9,12.06,11.82,-0.24,False,681.93,4.5,5,0
SHP-00887,2025-01-28,East,WH-Kolkata,Air,2442.7,38.2,8.04,7.8,-0.24,False,3806.9,2.5,5,0
SHP-00697,2025-01-28,North,WH-Bhopal,Sea,469.3,690.2,2.28,2.64,0.36,True,400.74,3.2,5,0
SHP-00907,2025-01-28,North,WH-Kolkata,Road,1904.2,290.5,24.17,25.05,0.88,True,1141.12,7.1,4,0
SHP-00110,2025-01-28,East,WH-Bhopal,Air,2739.2,18.4,10.71,10.31,-0.4,False,4370.64,7.3,4,0
SHP-00150,2025-01-29,West,WH-Mumbai,Rail,2462.7,312.1,23.26,22.45,-0.81,False,913.9,10.2,4,0
SHP-01153,2025-01-29,East,WH-Kolkata,Sea,1995.1,731.5,11.01,12.9,1.89,True,625.58,9.0,4,0
SHP-00615,2025-01-29,North,WH-Delhi,Air,2770.0,92.6,8.22,8.92,0.7,True,4540.19,9.2,5,0
SHP-00802,2025-01-30,West,WH-Chennai,Air,2160.0,99.0,6.99,7.91,0.92,True,3588.64,5.3,4,0
SHP-00960,2025-01-31,North,WH-Mumbai,Sea,1865.7,872.1,9.32,11.6,2.28,True,591.21,6.8,3,0
SHP-00508,2025-02-02,South,WH-Delhi,Road,1311.1,265.2,16.81,16.83,0.02,True,864.31,4.7,4,0
SHP-00306,2025-02-02,Central,WH-Chennai,Rail,2001.7,720.3,18.21,17.95,-0.26,False,954.07,2.7,4,0
SHP-00115,2025-02-02,South,WH-Chennai,Road,2757.4,109.9,33.07,33.99,0.92,True,1385.73,10.5,5,0
SHP-00855,2025-02-03,South,WH-Mumbai,Road,95.6,19.3,2.96,3.01,0.05,True,27.5,11.8,4,0
SHP-00762,2025-02-03,South,WH-Chennai,Sea,1933.4,564.9,14.18,13.61,-0.57,False,513.55,5.6,4,0
SHP-00928,2025-02-03,East,WH-Delhi,Rail,2007.3,387.7,15.06,17.61,2.55,True,744.27,10.3,4,0
SHP-00815,2025-02-03,North,WH-Delhi,Road,662.0,556.7,7.07,8.86,1.79,True,741.16,5.8,4,0
SHP-01028,2025-02-04,North,WH-Mumbai,Sea,2147.4,530.5,12.44,13.02,0.58,True,559.7,3.5,5,0
SHP-00124,2025-02-04,South,WH-Bhopal,Air,1890.7,15.6,7.42,7.57,0.15,True,2990.68,11.4,5,0
SHP-00524,2025-02-04,East,WH-Bhopal,Road,2885.9,504.4,28.3,34.31,6.01,True,1868.89,11.8,2,0
SHP-00327,2025-02-04,West,WH-Kolkata,Road,2042.8,434.5,20.61,25.21,4.6,True,1421.2,7.1,3,0
SHP-00709,2025-02-04,North,WH-Delhi,Air,2429.2,169.6,8.89,9.12,0.23,True,4295.38,2.8,5,0
SHP-00059,2025-02-04,North,WH-Delhi,Air,76.5,58.4,2.42,2.55,0.13,True,266.62,3.0,5,0
SHP-00151,2025-02-05,West,WH-Mumbai,Road,1071.5,112.7,12.06,13.75,1.69,True,605.94,11.2,4,0
SHP-00382,2025-02-05,North,WH-Delhi,Road,1433.7,1249.4,14.0,15.59,1.59,True,1680.76,8.3,4,0
SHP-00963,2025-02-05,South,WH-Delhi,Road,963.7,579.2,10.69,12.08,1.39,True,969.17,11.9,4,0
SHP-00546,2025-02-05,South,WH-Bhopal,Rail,2505.1,322.3,19.79,21.97,2.18,True,857.24,3.0,4,0
SHP-00338,2025-02-06,North,WH-Mumbai,Air,2132.7,162.8,7.76,9.88,2.12,True,3772.57,10.6,4,0
SHP-00268,2025-02-06,West,WH-Chennai,Rail,1686.7,542.0,12.63,15.05,2.42,True,751.74,8.5,4,0
SHP-00552,2025-02-06,North,WH-Chennai,Air,2134.8,176.5,7.0,8.73,1.73,True,3841.02,10.9,4,0
SHP-01127,2025-02-07,North,WH-Bhopal,Sea,2354.7,634.9,13.73,14.1,0.37,True,712.21,6.8,4,0
SHP-00311,2025-02-07,West,WH-Kolkata,Rail,605.7,178.0,4.83,5.86,1.03,True,333.95,11.8,4,0
SHP-01018,2025-02-07,East,WH-Chennai,Road,1623.8,270.6,15.83,19.9,4.07,True,1078.15,2.7,3,0
SHP-01084,2025-02-07,South,WH-Mumbai,Road,2736.4,100.5,36.95,35.26,-1.69,False,1440.23,5.8,5,0
SHP-00996,2025-02-07,West,WH-Chennai,Road,2419.6,428.3,25.47,29.68,4.21,True,1556.78,8.2,3,0
SHP-00250,2025-02-08,North,WH-Bhopal,Road,422.2,933.9,4.8,5.77,0.97,True,994.39,3.9,5,0
SHP-00586,2025-02-08,Central,WH-Mumbai,Sea,2326.1,622.8,15.45,15.3,-0.15,False,629.41,9.4,4,0
SHP-00638,2025-02-08,West,WH-Chennai,Road,511.5,567.6,6.78,8.59,1.81,True,769.32,6.6,4,0
SHP-00766,2025-02-08,East,WH-Chennai,Sea,2564.7,974.3,13.92,16.78,2.86,True,818.05,10.2,3,0
SHP-00477,2025-02-08,East,WH-Mumbai,Road,2607.9,256.0,24.36,31.25,6.89,True,1529.41,3.4,2,0
SHP-00373,2025-02-08,North,WH-Kolkata,Road,1702.0,658.3,20.1,22.61,2.51,True,1327.7,10.6,4,0
SHP-01072,2025-02-08,Central,WH-Bhopal,Road,1705.0,630.8,16.56,21.66,5.1,True,1383.58,7.4,3,0
SHP-00909,2025-02-08,West,WH-Kolkata,Road,330.1,339.3,4.43,4.97,0.54,True,464.23,11.6,4,0
SHP-00961,2025-02-09,Central,WH-Mumbai,Rail,2273.7,362.9,13.7,17.55,3.85,True,919.02,6.4,3,0
SHP-00109,2025-02-10,Central,WH-Mumbai,Road,2269.4,216.1,29.34,28.22,-1.12,False,1301.2,6.3,4,0
SHP-00700,2025-02-10,East,WH-Bhopal,Road,1251.8,169.2,16.36,15.97,-0.39,False,780.16,4.4,5,0
SHP-00091,2025-02-10,North,WH-Kolkata,Road,360.0,1015.7,4.97,6.29,1.32,True,1006.26,2.5,4,0
SHP-00933,2025-02-11,Central,WH-Mumbai,Air,2364.9,367.3,7.84,8.83,0.99,True,4591.31,8.7,5,0
SHP-01052,2025-02-11,South,WH-Bhopal,Sea,254.1,2112.8,2.79,3.36,0.57,True,615.6,6.1,5,0
SHP-00137,2025-02-11,East,WH-Bhopal,Road,2206.2,497.5,29.06,27.73,-1.33,False,1572.53,3.2,4,0
SHP-01077,2025-02-11,Central,WH-Delhi,Rail,2257.3,360.8,13.65,16.87,3.22,True,868.45,10.3,3,0
SHP-00589,2025-02-11,East,WH-Chennai,Road,1827.4,257.8,22.42,22.36,-0.06,False,1162.98,11.8,5,0
SHP-00516,2025-02-12,Central,WH-Mumbai,Sea,627.5,545.6,5.07,5.5,0.43,True,220.52,7.2,5,0
SHP-00821,2025-02-12,East,WH-Bhopal,Sea,2203.5,908.4,14.96,15.52,0.56,True,603.11,2.1,4,0
SHP-00167,2025-02-13,West,WH-Bhopal,Road,477.6,462.8,5.3,6.07,0.77,True,658.3,7.0,4,0
SHP-00071,2025-02-13,East,WH-Kolkata,Road,2280.2,155.9,22.91,29.53,6.62,True,1346.95,5.9,2,0
SHP-00657,2025-02-13,East,WH-Chennai,Rail,910.2,153.4,7.77,9.27,1.5,True,325.34,4.6,4,0
SHP-00517,2025-02-13,Central,WH-Chennai,Road,2488.9,244.4,24.95,31.8,6.85,True,1414.84,3.4,2,0
SHP-00161,2025-02-14,North,WH-Bhopal,Sea,447.5,279.5,3.03,3.99,0.96,True,120.25,10.1,5,0
SHP-00334,2025-02-15,South,WH-Bhopal,Road,274.2,332.8,4.11,4.11,0.0,False,398.86,3.9,4,0
SHP-00708,2025-02-15,East,WH-Mumbai,Road,1414.9,125.3,18.36,18.08,-0.28,False,765.18,3.2,5,0
SHP-00854,2025-02-15,North,WH-Chennai,Rail,2620.2,467.2,18.78,22.02,3.24,True,1124.62,8.6,3,0
SHP-00422,2025-02-16,West,WH-Delhi,Sea,2273.1,2247.7,11.89,13.91,2.02,True,1074.24,3.3,4,0
SHP-00991,2025-02-16,Central,WH-Bhopal,Road,2537.0,134.4,30.84,30.74,-0.1,False,1414.82,11.6,4,0
SHP-00862,2025-02-16,South,WH-Chennai,Air,1562.1,78.1,5.45,5.5,0.05,True,2617.94,10.5,4,0
SHP-00673,2025-02-16,Central,WH-Delhi,Road,1768.1,124.6,24.23,24.06,-0.17,False,1040.1,2.1,4,0
SHP-01109,2025-02-16,South,WH-Chennai,Air,1584.5,167.9,5.73,6.55,0.82,True,2892.05,3.3,4,0
SHP-00471,2025-02-16,North,WH-Bhopal,Road,2095.5,234.5,27.88,26.84,-1.04,False,1210.38,3.3,5,0
SHP-00870,2025-02-17,West,WH-Chennai,Road,2485.3,7.7,32.25,30.72,-1.53,False,1222.95,6.3,5,1
SHP-00453,2025-02-17,East,WH-Mumbai,Air,1768.6,30.1,6.35,6.65,0.3,True,2732.0,4.5,4,0
SHP-00116,2025-02-17,South,WH-Bhopal,Road,632.5,376.9,6.68,8.2,1.52,True,668.11,5.1,4,0
SHP-00030,2025-02-18,Central,WH-Bhopal,Road,2496.8,303.9,24.48,30.51,6.03,True,1442.7,8.3,2,0
SHP-00329,2025-02-18,North,WH-Bhopal,Road,1692.2,255.1,19.0,21.29,2.29,True,1070.75,6.6,4,0
SHP-00062,2025-02-19,North,WH-Chennai,Road,1407.2,121.4,13.35,17.56,4.21,True,773.42,9.7,3,0
SHP-00757,2025-02-20,South,WH-Chennai,Road,2261.3,152.9,23.43,29.31,5.88,True,1254.25,6.1,3,0
SHP-00395,2025-02-20,West,WH-Chennai,Sea,2598.7,1079.7,18.12,17.42,-0.7,False,744.0,3.3,4,0
SHP-00841,2025-02-20,South,WH-Chennai,Road,92.8,328.6,2.9,2.85,-0.05,False,348.49,11.2,5,0
SHP-00805,2025-02-20,North,WH-Chennai,Rail,2792.3,1375.3,23.24,22.83,-0.41,False,1491.21,4.8,5,0
SHP-01152,2025-02-20,North,WH-Delhi,Sea,758.9,515.6,4.67,5.69,1.02,True,381.96,9.1,4,0
SHP-00314,2025-02-20,West,WH-Bhopal,Sea,2978.7,1000.1,15.52,20.34,4.82,True,888.54,8.9,3,0
SHP-00037,2025-02-20,West,WH-Bhopal,Road,1689.9,104.0,20.71,22.35,1.64,True,1024.22,6.2,4,0
SHP-00198,2025-02-21,West,WH-Kolkata,Road,83.4,221.9,2.76,2.99,0.23,True,188.67,5.7,5,1
SHP-00143,2025-02-21,North,WH-Chennai,Road,1343.6,180.7,16.27,18.64,2.37,True,797.73,11.8,4,0
SHP-00576,2025-02-21,Central,WH-Chennai,Road,1154.2,219.5,13.6,13.98,0.38,True,617.37,8.9,4,0
SHP-00817,2025-02-22,East,WH-Delhi,Road,2523.7,322.0,25.81,31.64,5.83,True,1518.05,4.2,3,0
SHP-00055,2025-02-22,West,WH-Bhopal,Road,221.9,375.8,4.06,3.99,-0.07,False,420.55,5.2,4,0
SHP-00086,2025-02-22,North,WH-Chennai,Rail,2009.1,651.0,12.75,15.93,3.18,True,896.2,6.3,3,0
SHP-00216,2025-02-22,South,WH-Bhopal,Rail,2102.9,775.6,14.32,17.85,3.53,True,1076.26,7.2,3,0
SHP-00413,2025-02-22,North,WH-Delhi,Rail,2461.8,7.3,16.95,21.0,4.05,True,810.43,6.2,3,0
SHP-00749,2025-02-22,South,WH-Kolkata,Sea,1049.3,1348.7,6.35,6.97,0.62,True,593.39,11.9,5,0
SHP-00582,2025-02-22,East,WH-Chennai,Sea,972.0,945.8,5.51,6.55,1.04,True,411.94,11.5,4,0
SHP-00210,2025-02-23,North,WH-Bhopal,Road,265.8,372.7,4.1,4.82,0.72,True,555.57,2.5,4,0
SHP-00065,2025-02-23,South,WH-Mumbai,Air,1790.9,70.3,4.41,5.67,1.26,True,2883.12,5.8,4,0
SHP-00774,2025-02-23,South,WH-Mumbai,Road,650.1,531.9,8.26,8.15,-0.11,False,768.78,7.4,5,0
SHP-00278,2025-02-23,Central,WH-Delhi,Road,2900.4,16.8,33.13,36.79,3.66,True,1407.5,8.1,3,1
SHP-00410,2025-02-23,East,WH-Bhopal,Road,687.6,746.6,8.52,9.68,1.16,True,901.92,3.9,4,0
SHP-00679,2025-02-23,North,WH-Kolkata,Air,2148.2,107.8,6.35,7.05,0.7,True,3639.51,6.5,4,0
SHP-00356,2025-02-23,Central,WH-Mumbai,Road,1120.2,428.8,15.43,16.38,0.95,True,946.63,2.2,4,0
SHP-01167,2025-02-24,South,WH-Delhi,Sea,1037.7,995.0,5.48,5.54,0.06,True,526.44,11.2,4,0
SHP-00039,2025-02-24,North,WH-Bhopal,Sea,1407.3,1473.2,9.44,10.33,0.89,True,681.06,6.2,4,0
SHP-00866,2025-02-25,North,WH-Bhopal,Road,1182.2,190.0,16.97,16.75,-0.22,False,741.84,3.9,4,0
SHP-00884,2025-02-25,North,WH-Kolkata,Road,181.8,509.0,4.16,5.48,1.32,True,474.22,8.4,4,0
SHP-00585,2025-02-26,Central,WH-Delhi,Road,2550.5,169.6,24.8,31.53,6.73,True,1435.62,7.7,3,0
SHP-00645,2025-02-27,South,WH-Chennai,Road,142.8,847.3,2.3,2.92,0.62,True,846.66,9.1,4,0
SHP-00437,2025-02-27,North,WH-Chennai,Road,2884.1,21.8,36.68,36.14,-0.54,False,1514.82,5.7,4,0
SHP-00445,2025-02-27,South,WH-Delhi,Road,2612.0,47.9,32.91,32.36,-0.55,False,1278.1,7.1,5,0
SHP-00403,2025-02-27,West,WH-Kolkata,Air,488.0,160.9,3.28,4.22,0.94,True,1148.39,10.3,4,0
SHP-00357,2025-02-27,Central,WH-Kolkata,Road,790.4,550.3,10.26,10.45,0.19,True,902.72,7.6,4,0
SHP-00656,2025-02-27,West,WH-Delhi,Road,1592.1,101.5,20.53,21.39,0.86,True,859.5,10.0,4,0
SHP-00031,2025-02-28,South,WH-Delhi,Air,942.9,59.1,2.68,2.88,0.2,True,1666.33,3.0,5,0
SHP-00414,2025-03-01,North,WH-Bhopal,Road,2536.7,843.0,33.95,33.45,-0.5,False,1944.4,3.1,5,0
SHP-01032,2025-03-01,North,WH-Mumbai,Rail,2739.3,423.9,18.15,23.9,5.75,True,1087.34,3.1,3,0
SHP-00263,2025-03-01,Central,WH-Chennai,Road,1606.1,1028.9,18.14,21.62,3.48,True,1549.83,9.8,3,0
SHP-00871,2025-03-02,North,WH-Chennai,Road,861.9,182.6,12.7,12.68,-0.02,False,552.02,5.9,4,0
SHP-00839,2025-03-02,North,WH-Chennai,Rail,1257.7,440.2,11.05,13.26,2.21,True,583.76,8.5,3,0
SHP-01048,2025-03-03,North,WH-Kolkata,Road,667.5,220.1,8.6,8.36,-0.24,False,513.69,11.0,4,0
SHP-00117,2025-03-03,East,WH-Chennai,Road,2953.2,212.9,28.28,36.8,8.52,True,1712.24,10.2,2,0
SHP-00562,2025-03-03,North,WH-Chennai,Road,2044.2,74.3,23.75,27.61,3.86,True,1007.72,3.1,3,0
SHP-00974,2025-03-03,North,WH-Delhi,Road,2885.3,224.2,32.72,36.14,3.42,True,1682.42,8.3,4,0
SHP-00162,2025-03-03,East,WH-Delhi,Road,978.7,281.1,12.86,12.65,-0.21,False,792.09,9.5,5,0
SHP-00102,2025-03-04,East,WH-Kolkata,Road,2363.6,820.8,29.42,31.12,1.7,True,1822.14,10.5,4,0
SHP-00139,2025-03-04,East,WH-Chennai,Rail,2224.3,210.9,15.21,19.91,4.7,True,742.5,9.5,3,0
SHP-01198,2025-03-04,North,WH-Bhopal,Sea,2193.5,1715.0,12.55,14.41,1.86,True,995.1,6.0,4,0
SHP-01064,2025-03-04,North,WH-Bhopal,Road,1371.4,167.9,12.76,16.84,4.08,True,887.69,7.7,3,0
SHP-01176,2025-03-04,South,WH-Chennai,Road,1768.1,108.8,21.03,22.5,1.47,True,975.81,4.0,4,0
SHP-00732,2025-03-04,North,WH-Kolkata,Road,2673.5,114.7,24.68,32.33,7.65,True,1455.54,5.4,2,0
SHP-00398,2025-03-04,East,WH-Bhopal,Road,392.7,117.5,5.21,6.07,0.86,True,309.7,9.0,4,0
SHP-00513,2025-03-06,South,WH-Kolkata,Air,1395.7,283.2,3.73,4.28,0.55,True,2846.34,2.5,4,0
SHP-00095,2025-03-06,North,WH-Chennai,Rail,967.6,233.6,8.06,9.76,1.7,True,414.81,3.3,4,0
SHP-00724,2025-03-06,South,WH-Chennai,Road,1163.3,171.0,14.6,14.95,0.35,True,664.51,6.9,5,1
SHP-00159,2025-03-07,Central,WH-Chennai,Road,1007.9,368.3,11.69,13.59,1.9,True,770.61,7.1,3,0
SHP-00785,2025-03-07,North,WH-Mumbai,Road,2972.6,166.3,28.14,36.63,8.49,True,1509.11,8.7,2,0
